MMSI,Latitude,Longitude,COG,SOG,Time
305234000,51.1917,1.687,226.0,17.3,20/11/2018 15:22:51.194
351783000,50.7908,1.0366,233.9,15.6,20/11/2018 15:22:51.316
235114568,51.3297,1.4225,232.7,0.0,20/11/2018 15:22:51.681
235021316,52.0521,1.1612,167.7,0.0,20/11/2018 15:22:51.697
235105354,52.4827,1.6702,163.8,0.1,20/11/2018 15:22:52.099
210620000,52.5605,1.8787,206.4,1.3,20/11/2018 15:22:52.100
309186000,51.455,0.354,193.3,0.0,20/11/2018 15:22:52.263
227141900,51.0942,1.7289,46.7,1.2,20/11/2018 15:22:52.319
232007977,52.4758,1.7578,258.1,0.0,20/11/2018 15:22:53.658
210819000,51.6412,1.3764,52.0,14.9,20/11/2018 15:22:54.034
220284000,51.9528,1.3122,268.0,0.0,20/11/2018 15:22:54.096
305786000,51.4588,0.3487,162.7,0.0,20/11/2018 15:22:54.098
235102028,52.4757,1.7236,174.1,0.0,20/11/2018 15:22:54.267
235070402,52.4731,1.7515,47.0,0.0,20/11/2018 15:22:54.607
538004885,51.0653,1.8532,319.0,0.3,20/11/2018 15:22:54.671
235108057,52.4759,1.7578,338.2,0.1,20/11/2018 15:22:54.726
235018872,52.4732,1.7511,360.0,0.0,20/11/2018 15:22:54.960
253112000,51.4644,0.454,5.0,0.0,20/11/2018 15:22:54.965
235022613,51.4446,0.3944,197.4,0.1,20/11/2018 15:22:55.049
246846000,51.0345,1.6551,48.0,8.1,20/11/2018 15:22:55.223
232017797,51.4953,0.0629,360.0,0.0,20/11/2018 15:22:55.487
205111000,51.2315,2.9254,282.0,0.1,20/11/2018 15:22:55.637
235089286,51.4049,0.5329,360.0,0.0,20/11/2018 15:22:55.821
205779710,51.1424,2.7444,162.9,0.0,20/11/2018 15:22:56.148
205072000,51.2572,2.8645,247.0,1.6,20/11/2018 15:22:56.214
256947000,51.5054,0.5178,23.1,0.2,20/11/2018 15:22:56.231
257010590,52.5788,1.739,153.3,0.1,20/11/2018 15:22:56.643
235099364,51.9476,1.2917,360.0,102.3,20/11/2018 15:22:56.655
250001268,52.0378,1.1583,57.0,0.0,20/11/2018 15:22:56.784
249679000,51.4699,0.2513,124.0,0.0,20/11/2018 15:22:56.998
235117092,51.4685,0.3232,325.7,6.5,20/11/2018 15:22:57.055
235005980,52.4754,1.7196,318.9,0.0,20/11/2018 15:22:57.108
229398000,51.4505,0.3635,304.0,0.0,20/11/2018 15:22:57.157
235082717,50.9725,1.8271,255.8,14.9,20/11/2018 15:22:57.239
235077831,51.3296,1.4219,287.1,0.0,20/11/2018 15:22:57.314
232814000,52.6379,1.7661,179.9,7.1,20/11/2018 15:22:57.376
235024568,51.9486,1.2475,255.1,0.0,20/11/2018 15:22:57.432
232002280,51.3915,1.3829,0.0,0.0,20/11/2018 15:22:57.740
220234000,50.9815,1.2935,223.0,13.5,20/11/2018 15:22:57.984
311702000,51.1319,1.7933,54.0,10.2,20/11/2018 15:22:58.050
244230000,51.2321,2.9307,164.7,0.0,20/11/2018 15:22:58.053
314377000,51.1084,1.5334,230.0,10.3,20/11/2018 15:22:58.168
229107000,51.0945,1.7555,54.0,6.3,20/11/2018 15:22:58.169
235073887,51.9485,1.2475,198.5,0.0,20/11/2018 15:22:58.430
232011626,51.4099,0.6157,269.2,9.1,20/11/2018 15:22:58.821
255802950,52.4251,2.3178,186.0,9.8,20/11/2018 15:22:59.059
233322000,51.4805,0.227,133.4,11.6,20/11/2018 15:22:59.158
235105282,52.4745,1.7357,343.0,0.0,20/11/2018 15:22:59.362
636092138,52.4532,2.66,2.0,9.7,20/11/2018 15:22:59.685
218850000,50.7684,1.3897,29.3,14.7,20/11/2018 15:22:59.975
219018271,50.6542,1.3201,46.4,11.3,20/11/2018 15:22:59.995
235011848,51.4447,0.3969,220.5,0.1,20/11/2018 15:23:00.118
235103062,52.4731,1.7519,360.0,0.0,20/11/2018 15:23:00.503
228006800,50.9735,1.8185,74.9,14.4,20/11/2018 15:23:00.621
235004740,51.3294,1.4199,360.0,0.0,20/11/2018 15:23:01.084
244642000,50.8603,1.0522,230.3,12.7,20/11/2018 15:23:01.086
227104700,51.0957,1.712,195.0,3.9,20/11/2018 15:23:01.147
244948000,50.6742,0.8048,233.0,11.4,20/11/2018 15:23:01.275
232001240,51.4552,0.2758,239.4,0.0,20/11/2018 15:23:01.288
232017252,51.4091,0.5298,360.0,0.0,20/11/2018 15:23:01.330
205654000,51.2276,2.9328,145.0,0.0,20/11/2018 15:23:01.445
235069037,51.3285,1.4199,152.2,0.1,20/11/2018 15:23:01.446
235000164,51.9508,1.315,258.0,0.0,20/11/2018 15:23:01.583
233344000,52.0944,1.7485,54.2,2.1,20/11/2018 15:23:01.873
636092275,51.2606,1.6633,197.3,13.4,20/11/2018 15:23:01.936
563039700,51.8974,1.5609,359.6,11.8,20/11/2018 15:23:02.616
256757000,50.7693,0.9957,236.9,14.2,20/11/2018 15:23:02.907
235113125,51.9517,1.3151,268.9,0.0,20/11/2018 15:23:03.180
564224000,51.0414,1.7678,84.3,8.3,20/11/2018 15:23:03.192
249988000,52.5272,2.1014,14.7,5.5,20/11/2018 15:23:03.276
235106254,52.0505,1.1623,0.0,0.0,20/11/2018 15:23:03.835
205088000,51.2331,2.9235,304.8,0.0,20/11/2018 15:23:04.246
244700863,51.1351,2.7534,324.1,0.0,20/11/2018 15:23:04.269
205562000,51.1359,2.7461,189.0,0.0,20/11/2018 15:23:04.270
205272000,51.2662,2.7993,171.3,3.4,20/11/2018 15:23:04.272
477423900,51.0179,1.3344,228.0,16.0,20/11/2018 15:23:04.324
235078345,51.9474,1.2911,360.0,102.3,20/11/2018 15:23:04.402
235085345,51.4952,0.457,13.0,0.4,20/11/2018 15:23:04.723
246518000,50.6851,0.6468,234.5,16.2,20/11/2018 15:23:05.060
311297000,51.3129,1.8595,219.2,19.4,20/11/2018 15:23:05.560
235010500,51.0373,1.7246,101.5,19.4,20/11/2018 15:23:05.612
230652000,51.3199,2.3241,73.3,18.8,20/11/2018 15:23:05.613
235024997,52.4753,1.7258,8.1,0.0,20/11/2018 15:23:05.614
235041032,51.7292,0.6739,360.0,0.0,20/11/2018 15:23:06.105
209672000,51.0903,1.775,45.0,8.9,20/11/2018 15:23:06.143
235085534,52.4734,1.7541,34.0,0.0,20/11/2018 15:23:06.388
352090000,50.9449,1.2444,221.5,14.3,20/11/2018 15:23:07.036
232007501,51.9954,1.2695,120.1,0.0,20/11/2018 15:23:07.155
205161000,51.2331,1.7768,184.8,10.9,20/11/2018 15:23:07.449
219624000,51.2649,2.1063,6.0,9.5,20/11/2018 15:23:07.449
565028000,51.3266,2.102,127.7,12.8,20/11/2018 15:23:07.450
232017796,51.4978,0.0617,360.0,0.0,20/11/2018 15:23:08.549
636092366,51.963,1.528,337.4,0.6,20/11/2018 15:23:08.802
235084537,51.3312,1.4183,360.0,0.0,20/11/2018 15:23:08.810
205206190,51.2213,2.9378,240.8,0.0,20/11/2018 15:23:09.297
228283600,50.9685,1.8494,251.2,1.5,20/11/2018 15:23:09.793
219017204,51.2338,2.9283,307.6,0.0,20/11/2018 15:23:09.930
355481000,50.89,1.1284,227.4,12.8,20/11/2018 15:23:12.337
228085000,50.9993,1.6476,294.4,20.2,20/11/2018 15:23:12.879
235003431,51.336,1.4446,44.3,15.4,20/11/2018 15:23:12.880
308876000,51.463,0.3309,98.6,0.0,20/11/2018 15:23:12.881
205970200,51.1432,2.7478,325.3,0.2,20/11/2018 15:23:13.388
205026900,51.1404,2.7445,0.0,0.0,20/11/2018 15:23:13.402
232001060,50.9687,1.8473,278.0,1.4,20/11/2018 15:23:13.589
232004783,51.1168,1.3117,159.0,0.0,20/11/2018 15:23:14.982
244008000,51.9308,1.398,266.2,10.5,20/11/2018 15:23:16.016
256565000,51.2418,2.1767,60.6,13.0,20/11/2018 15:23:16.296
205191000,50.7632,0.7049,120.3,4.8,20/11/2018 15:23:16.728
256784000,51.2612,1.802,205.0,12.5,20/11/2018 15:23:16.892
538003844,51.384,1.8938,207.9,11.2,20/11/2018 15:23:16.893
563101000,51.5393,1.7802,113.7,2.0,20/11/2018 15:23:16.893
248058000,52.5836,2.7501,39.4,6.5,20/11/2018 15:23:17.023
351407000,51.4579,0.3572,260.5,0.0,20/11/2018 15:23:17.723
205555000,51.2239,2.9329,211.4,0.0,20/11/2018 15:23:18.733
235098066,51.4499,0.3523,271.8,8.4,20/11/2018 15:23:19.039
230653000,51.4897,0.8137,266.4,17.3,20/11/2018 15:23:19.147
205112000,51.2289,2.9303,266.2,0.0,20/11/2018 15:23:20.130
235026811,51.9485,1.2485,252.8,0.1,20/11/2018 15:23:20.214
248759000,51.1095,1.733,181.3,13.7,20/11/2018 15:23:20.235
244650814,51.4906,0.1834,228.4,0.0,20/11/2018 15:23:20.607
232013153,52.0516,1.1583,290.9,0.0,20/11/2018 15:23:20.960
209072000,51.8024,1.4745,24.9,0.7,20/11/2018 15:23:21.991
235085696,51.4456,0.3747,193.1,0.0,20/11/2018 15:23:22.059
232011624,51.4478,0.378,88.0,6.9,20/11/2018 15:23:22.146
374032000,51.4593,0.3557,264.9,0.0,20/11/2018 15:23:22.241
305530000,52.5611,1.9717,4.0,0.6,20/11/2018 15:23:22.370
235069704,51.9511,1.3139,336.3,0.0,20/11/2018 15:23:22.598
256759000,51.5055,0.5195,196.0,0.3,20/11/2018 15:23:23.112
205541000,51.2226,2.9362,262.0,0.0,20/11/2018 15:23:23.193
245072000,52.5509,2.0023,18.7,7.1,20/11/2018 15:23:23.704
235114598,51.4456,0.3744,337.8,0.1,20/11/2018 15:23:23.847
304067000,51.0507,1.8317,327.8,0.6,20/11/2018 15:23:24.368
229879000,51.4295,1.8862,206.7,10.0,20/11/2018 15:23:25.019
249040000,51.4505,0.3642,324.0,0.0,20/11/2018 15:23:25.287
205591000,51.2311,2.9256,208.1,0.0,20/11/2018 15:23:25.447
636015020,51.3561,2.3597,248.0,8.7,20/11/2018 15:23:25.965
212637000,51.2101,1.734,223.0,15.6,20/11/2018 15:23:25.966
232007488,51.4518,0.7525,57.7,6.6,20/11/2018 15:23:26.931
235103276,51.4594,0.2772,297.9,5.8,20/11/2018 15:23:26.941
314465000,51.347,2.2751,295.7,11.4,20/11/2018 15:23:27.147
205594200,51.1421,2.7494,191.0,0.0,20/11/2018 15:23:27.150
244650275,51.1418,2.7447,360.0,0.0,20/11/2018 15:23:27.192
244820414,51.1431,2.7442,319.1,0.0,20/11/2018 15:23:27.193
205692310,51.1431,2.7482,0.0,0.0,20/11/2018 15:23:27.194
244773000,51.135,2.7525,172.6,0.0,20/11/2018 15:23:27.196
235037917,51.951,1.3132,15.1,0.0,20/11/2018 15:23:27.878
235039652,50.7887,0.3301,284.4,6.5,20/11/2018 15:23:28.615
235022603,51.4445,0.3944,0.0,0.0,20/11/2018 15:23:28.763
235051992,51.4465,0.7429,71.4,0.0,20/11/2018 15:23:28.860
235012605,51.4447,0.3959,225.3,0.0,20/11/2018 15:23:28.922
246419000,51.0845,1.7493,41.9,4.5,20/11/2018 15:23:28.991
235001841,50.7916,0.3263,159.7,0.0,20/11/2018 15:23:29.137
235072883,51.4548,0.3418,360.0,0.0,20/11/2018 15:23:29.681
235104232,51.231,2.9349,321.0,0.0,20/11/2018 15:23:30.545
245070000,52.5408,1.9613,166.3,6.5,20/11/2018 15:23:30.900
235066459,52.4731,1.7511,123.1,0.1,20/11/2018 15:23:31.030
374124000,51.0476,1.6502,53.0,10.3,20/11/2018 15:23:31.072
232001260,51.4007,0.5432,344.0,0.1,20/11/2018 15:23:31.227
235069806,50.7944,0.3281,0.0,0.0,20/11/2018 15:23:31.234
205557000,51.2369,2.9226,149.0,2.8,20/11/2018 15:23:31.454
249444000,51.3671,2.0431,119.0,15.4,20/11/2018 15:23:31.682
227832880,51.0904,1.7232,49.1,1.9,20/11/2018 15:23:31.909
311000448,51.4753,1.9713,215.8,14.4,20/11/2018 15:23:32.354
477585800,51.4549,0.3258,20.8,0.0,20/11/2018 15:23:32.422
235084467,51.3288,1.4207,220.6,0.1,20/11/2018 15:23:32.720
235099951,51.2174,2.9434,177.1,0.0,20/11/2018 15:23:32.747
